ts,chain,address,symbol,binance_symbol,binance_base_asset,binance_match_type,label,pump_score,dump_score,anomaly_score,smart_money_score,risk_score,reasons
2026-05-01T10:50:18+00:00,solana,BzU72NjQcYsCc8jT5gf7vVqVnZGbTNazGduEEMDmpump,FitCoin,,,,watch,66.0,0.0,65.0,0.0,0.0,sudden_rise_price_plus_volume
2026-05-01T10:50:18+00:00,solana,FVP6LdE6kDiy87hgstuV3EuC4MRT2Fe8mvqSEvpx2RbJ,Rabbit✨,,,,watch,66.0,0.0,65.0,0.0,0.0,sudden_rise_price_plus_volume
2026-05-01T10:50:18+00:00,solana,6tQ1mgXyosU2AJLre2gW5n5yxV9awo4HvY1iX9AocYy8,MrBeast,,,,watch,66.0,0.0,65.0,0.0,0.0,sudden_rise_price_plus_volume
2026-05-01T10:50:18+00:00,solana,DS6sZHsYvmQawEthLkZF4yph5QjSPP3tn5dbMwDtpump,XT1,,,,watch,30.0,36.0,65.0,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,GpJXaqc2f9tJNjQ1WhYuLWyWo5dZsnfinkK9rPQp5s2x,SPERM,,,,watch,61.8,3.0,65.0,0.0,12.0,sudden_rise_price_plus_volume;risk:thin_liquidity
2026-05-01T10:50:18+00:00,solana,BGvjob43Jhp5F5GuZNywAbHFVdo27s1ipipYqkA8pump,AKASAI,,,,watch,30.0,6.25,39.73,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,6AVAUKa9uxQpruHZUinFECpXEh1usRVtzQWK8N2wpump,SCAM,,,,watch,2.58,36.14,38.53,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,HrMp2mmpyDZJ65Mspzib7NJPXeZe2cvY5stfHG9nhWTH,PUP,,,,watch,19.94,0.0,34.75,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,6Wr2gNRSS5AY598SHBectF5T7ZhHbXa48E46NnQBpump,Mask,,,,watch,30.0,0.59,30.91,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,CVE8mLDoxZEkxwrZjMKzA5sQntivQsyBLpMtQ8y2pump,FASHR,,,,watch,30.0,0.01,30.01,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,Hj9fgX61v4qhjSQh9KQWHE7r2cUEQsZdssEYAkKKTv11,mɔ,,,,watch,30.0,0.0,30.0,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,2LUZGzSprX6DJQGKGaXvGSYnuf4xHfCuJCeeKHfymoon,disbelief,,,,watch,3.34,28.4,28.47,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,BULL,,,,watch,9.96,7.19,21.27,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,3KHMZhpthXuiCcgfTv7vVu9PpEz64KAEURFwi6Lopump,Goblin,,,,watch,10.92,0.0,17.14,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,2ssMotVbTUfRJev2UnibHzHsoeszPzgwbfsTZPSHpump,Wish,,,,watch,17.03,1.67,14.89,9.0,0.0,buy_pressure
2026-05-01T10:50:18+00:00,solana,2CKp88BFyPzr7gEuQKXMJ9cqa24AFXUNC41FR7udpump,Walter,,,,watch,7.13,0.0,11.32,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,CGEDT9QZDvvH5GmVkWJH2BXiMJqMJySC9ihWyr7Spump,BURNIE,,,,watch,3.02,3.72,9.18,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,CzHc1ugMNhim5JCJC8ebbp4k14jfrbZx1HNcMyEppump,MUSK,,,,watch,0.67,1.89,3.41,0.0,0.0,normal_watch
2026-05-01T10:50:18+00:00,solana,mVQdXGxsj7ac9RpMcniWUF7iGsMdu4N94uwb5vmpump,BlueBuck,,,,watch,0.71,0.0,0.96,0.0,0.0,normal_watch
